Track Number,Track Name,Artist
1,Tiësto - Magikal Circus,Tiësto
2,Ernesto vs. Bastian ft. Susana - Dark Side Of The Moon (Dogzilla Pure Filth Mix),Ernesto vs. Bastian
3,Solar Movement - Under The Sun,Solar Movement
4,Atlantis vs. Avatar ft. Miriam Stockley - Fiji (Lange Remix),Atlantis vs. Avatar
5,Commander Tom & John Askew vs. Way Out West - IntensifEYE (Neptune Project Mashup),Commander Tom & John Askew vs. Way Out West
6,Matt Darey pres. Li Kwan - Point Zero (Lost Tribe 2004 Remake),Li Kwan
7,Neptune Project - A Sign From Above,Neptune Project
8,Tiësto - Urban Train (Cosmic Gate Remix),Tiësto
9,The Noble Six - Firewalker,The Noble Six
10,Paul van Dyk ft. Second Sun - Crush (Neptune Project Remix),Paul van Dyk
11,Chakra - Home (Above & Beyond Remix),Chakra
12,Firewall - Sincere (Smith & Pledger 2005 Remix),Firewall
13,Above & Beyond pres. Tranquility Base - Oceanic,Tranquility Base
14,Ronski Speed & Stoneface & Terminal - Drowning Sunlight,Ronski Speed & Stoneface & Terminal
15,Solarstone - Solarcoaster (Midway Remix),Solarstone
16,Junk Project - Composure (Solarstone Remix),Junk Project
17,Neptune Project - Proteus,Neptune Project
18,The Thrillseekers - New Life (Mike Koglin 2007 Remix),The Thrillseekers
19,Humate - Love Stimulation (Oliver Lieb Softmix),Humate
20,Mike Koglin - 1:1.618 (Pulser Mix),Mike Koglin
21,Fred Baker vs. Nyram - Confirmation,Fred Baker vs. Nyram
22,Above & Beyond pres. OceanLab - Satellite (Original Above & Beyond Mix),Above & Beyond pres. OceanLab
23,Neptune Project ft. Polly Strange - It Turns For You (The Noble Six Remix),Neptune Project
24,The Thrillseekers & York ft. Asheni - Daydream (Will Atkinson Dreamy Mix),The Thrillseekers & York
25,Jan Johnston - Flesh (Tiësto Remix),Jan Johnston
26,Solid Globe - Sahara vs. North Pole (Alex M.O.R.P.H. Remix),Solid Globe
27,Tiësto & Armin van Buuren pres. Major League - Wonder (Transa Remix),Tiësto & Armin van Buuren pres. Major League
28,Push - Till We Meet Again,Push
29,UMEK vs. Ramirez - Hablando (Neptune Project Highlander Rework),UMEK vs. Ramirez
30,Shadowrider - Blue Horizon (Giuseppe Ottaviani Remix),Shadowrider
31,John O'Callaghan ft. Lo-Fi Sugar - Never Fade Away (Giuseppe Ottaviani Remix),John O'Callaghan
32,Mr Sam ft. Kirsty Hawkshaw - Insight (Aira Force Remix),Mr Sam
33,Luminary - Amsterdam (Super8 & Tab Remix),Luminary
34,Sinead O'Connor - Troy (Push Remix),Sinead O'Connor
35,Andain - Summer Calling (Airwave Club Mix),Andain
36,Blank & Jones ft. Bobo - Perfect Silence (E-Craig 212 Remix),Blank & Jones
37,P.O.S. vs. The Blizzard & Maya Angelou - Remember Courage vs. Metanoia (The Blizzard Mashup),P.O.S. vs. The Blizzard & Maya Angelou
38,Above & Beyond pres. OceanLab - Secret,Above & Beyond pres. OceanLab
39,Hans Zimmer - Interstellar (Main Theme),Hans Zimmer
40,Alan Watts - What If Money Was No Object?,Alan Watts
